Sud Sardegna;Villasimius;Spiaggia Punta Molentis;500;1;10;True;True;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721051997/shutterstock_209452723_villasimius_punta_is_molentis_pawel_kazmierczak.jpg_resize_ab57su.jpg
Sud Sardegna;Villasimius;Spiaggia Porto Sa Ruxi;450;1;10;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052059/Spiaggia-Porto-Sa-Ruxi-Villasimius-South-Sardinia-1024x683_gljpru.jpg
Sud Sardegna;Teulada;Spiaggia di Turredda;1100;0;7;True;True;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052100/shutterstock_195872915_tuarredda_pawel_kazmierczak_resize_ohzemk.jpg
Nuoro;Baunei;Cala Mariolu;700;1;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052127/01-CALA-MARIOLU_jecgah.jpg
Nuoro;Baunei;Cala Golorizè;250;7;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052153/003_cala_goloritze_-_baunei_2_tn_bbq4z5.jpg
Nuoro;Baunei;Cala Biriola;300;0;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052203/cala_biriola_kr72dw.jpg
Nuoro;Baunei;Cala dei Gabbiani;300;0;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052265/6659b7364437b_ytnjoe.jpg
Nuoro;Baunei;Cala Sisine;1600;0;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052294/ssk_31769356_ogliastra_sisine_ivan_sgualdini_rsz_pdwppc.jpg
Nuoro;Baunei;Cala Luna;800;0;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052339/13837712-Cala-Luna-Orosei-Gulf-Nuoro-province-Sardegna-Italy_yis51t.jpg
Nuoro;Baunei;Spiaggia Centrale (Santa Maria Navarrese);1300;0;0;True;True;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052367/Santa-Maria-Navarrese_Sardinien_Italien-1200x700_vtrkri.jpg
Nuoro;Orosei;Oasi di Bidderosa;230;1;12;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052389/Bidderosa-Giusto-1024x669_jbyu2u.png
Sassari;Stintino;Spiaggia la Pelosa;1500;3,5;0;True;True;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052411/stintino_mb5afw.jpg
Sassari;Santa Teresa Gallura;Rena Bianca;1015;3,5;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052442/w_1200_h_1200_fit_fill_f_faces___www.costasmeralda.it_wp-content_uploads_2019_07_RenaBiancaLOW_10_ooq2rn.jpg
Sassari;La Maddalena;Cala Coticcio;60;3;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052473/cala-coticcio-alto-hd_cc6bco.jpg
Sassari;La Maddalena;Cala Brigantina;60;3;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052518/cala_brigantina_caprera_iqnvas.jpg
Sassari;San Teodoro;Cala Brandinchi;1447;2;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052552/Cala-Brandinchi-2-1024x576_wetksf.jpg
Sassari;San Teodoro;Spiaggia Lu Impostu;3352;2;0;True;False;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052581/Spiaggia-di-Lu-Impostu_fglbdk.jpg
